source,title,company,location,description,link,sponsorship
Lever,Business Development Manager - Tech Partners,mistral,Paris,"About Mistral At Mistral AI, we believe in the power of AI to simplify tasks, save time, and enhance learning and creativity. Our technology is designed to integrate seamlessly into daily working life",https://jobs.lever.co/mistral/b551de18-b9ae-493e-beb1-629fe9e88381,Likely Sponsored
Lever,Commercial Legal Counsel - Singapore,mistral,Singapore,"About Mistral At Mistral AI, we believe in the power of AI to simplify tasks, save time, and enhance learning and creativity. Our technology is designed to integrate seamlessly into daily working life",https://jobs.lever.co/mistral/e9e2c848-2128-4c59-968d-ccf2ae35b438,Likely Sponsored
Lever,Director of Internal Control,mistral,Paris,"About Mistral At Mistral AI, we believe in the power of AI to simplify tasks, save time, and enhance learning and creativity. Our technology is designed to integrate seamlessly into daily working life",https://jobs.lever.co/mistral/c7ffe998-bf72-4459-8b48-ab1eeeeeb090,Likely Sponsored
Lever,Enterprise Sales Leader,mistral,San Francisco,"About Mistral At Mistral AI, we believe in the power of AI to simplify tasks, save time, and enhance learning and creativity. Our technology is designed to integrate seamlessly into daily working life",https://jobs.lever.co/mistral/bfb756e5-c820-4c55-96f4-f41c4cfa972e,Likely Sponsored
Lever,FP&A Manager - Paris,mistral,Paris,"About Mistral At Mistral AI, we believe in the power of AI to simplify tasks, save time, and enhance learning and creativity. Our technology is designed to integrate seamlessly into daily working life",https://jobs.lever.co/mistral/389ac750-6789-4a0f-898b-4654d68ee81c,Likely Sponsored
Lever,Infrastructure Solution Architect - EMEA,mistral,Paris,"About Mistral At Mistral AI, we believe in the power of AI to simplify tasks, save time, and enhance learning and creativity. Our technology is designed to integrate seamlessly into daily working life",https://jobs.lever.co/mistral/1d8de5a6-9794-4919-9c43-b2494e6cfa0f,Likely Sponsored
Lever,"Legal Counsel, Copyright Attorney",mistral,Paris,"About Mistral AI At Mistral AI, we believe in the power of AI to simplify tasks, save time, and enhance learning and creativity. Our technology is designed to integrate seamlessly into daily working l",https://jobs.lever.co/mistral/0a274090-e9f9-4ed4-a6e0-aac5acdf4248,Likely Sponsored
Lever,"Legal Counsel, Patent Attorney",mistral,Paris,"About Mistral At Mistral AI, we believe in the power of AI to simplify tasks, save time, and enhance learning and creativity. Our technology is designed to integrate seamlessly into daily working life",https://jobs.lever.co/mistral/078e3097-9b9c-48a9-bfd8-92df5a41f931,Likely Sponsored
Lever,Legal Tech & Ops Associate (IP & Licensing Business),mistral,Palo Alto,"About Mistral At Mistral AI, we believe in the power of AI to simplify tasks, save time, and enhance learning and creativity. Our technology is designed to integrate seamlessly into daily working life",https://jobs.lever.co/mistral/bd69355b-9159-4bad-b52d-b71110e65090,Likely Sponsored
Lever,Licensing Executive,mistral,Paris,"About Mistral At Mistral AI, we believe in the power of AI to simplify tasks, save time, and enhance learning and creativity. Our technology is designed to integrate seamlessly into daily working life",https://jobs.lever.co/mistral/b84413c1-00a1-4663-8697-aa6548cc87f8,Likely Sponsored
Lever,Partner Solution Architect - EMEA,mistral,Paris,"About Mistral At Mistral AI, we believe in the power of AI to simplify tasks, save time, and enhance learning and creativity. Our technology is designed to integrate seamlessly into daily working life",https://jobs.lever.co/mistral/dfb77ba1-727b-454e-a323-e6e0eafec561,Likely Sponsored
Lever,Privacy Legal Counsel,mistral,Paris,"About Mistral At Mistral AI, we believe in the power of AI to simplify tasks, save time, and enhance learning and creativity. Our technology is designed to integrate seamlessly into daily working life",https://jobs.lever.co/mistral/25e20280-bdd6-4dee-9857-9247aeac0067,Likely Sponsored
Lever,Product Regulatory Legal Counsel (EU),mistral,Paris,"About Mistral At Mistral AI, we believe in the power of AI to simplify tasks, save time, and enhance learning and creativity. Our technology is designed to integrate seamlessly into daily working life",https://jobs.lever.co/mistral/6366e859-3a0f-44ed-9578-629a04c77e3c,Likely Sponsored
Lever,Research Platform Engineer - Paris/London,mistral,Paris,"About Mistral At Mistral AI, we believe in the power of AI to simplify tasks, save time, and enhance learning and creativity. Our technology is designed to integrate seamlessly into daily working life",https://jobs.lever.co/mistral/df0d75c1-97ef-4e50-85e6-0ffd8f5b7d7c,Likely Sponsored
Lever,Senior AI Deployment Strategist - Paris,mistral,Paris,"About Mistral At Mistral AI, we believe in the power of AI to simplify tasks, save time, and enhance learning and creativity. Our technology is designed to integrate seamlessly into daily working life",https://jobs.lever.co/mistral/0004f890-99d5-47c5-bb67-8f3f76a1e08f,Likely Sponsored
Lever,Senior Product Marketing Manager - Studio,mistral,Paris,"About Mistral At Mistral AI, we believe in the power of AI to simplify tasks, save time, and enhance learning and creativity. Our technology is designed to integrate seamlessly into daily working life",https://jobs.lever.co/mistral/8f3566b9-8165-46e1-899f-f37f8fe35ab5,Likely Sponsored
Lever,Social Media & Content Specialist - Paris,mistral,Paris,"About Mistral At Mistral AI, we believe in the power of AI to simplify tasks, save time, and enhance learning and creativity. Our technology is designed to integrate seamlessly into daily working life",https://jobs.lever.co/mistral/592525d7-0837-4002-9b94-42ef2f7c2571,Likely Sponsored
Lever,Social Media Specialist - Writing & Video (US),mistral,"New York, NY","About Mistral At Mistral AI, we believe in the power of AI to simplify tasks, save time, and enhance learning and creativity. Our technology is designed to integrate seamlessly into daily working life",https://jobs.lever.co/mistral/97a9b891-7979-4ca7-a2d9-f1f5e9107ce5,Likely Sponsored
Lever,Solution Operations - Paris,mistral,Paris,"About Mistral At Mistral AI, we believe in the power of AI to simplify tasks, save time, and enhance learning and creativity. Our technology is designed to integrate seamlessly into daily working life",https://jobs.lever.co/mistral/c4f5669e-305b-4e9f-9ae8-10fd50682273,Likely Sponsored
Lever,Strategic Partner Lead - OEM and Neoclouds,mistral,Palo Alto,"About Mistral At Mistral AI, we believe in the power of AI to simplify tasks, save time, and enhance learning and creativity. Our technology is designed to integrate seamlessly into daily working life",https://jobs.lever.co/mistral/2e48b51e-4872-41ee-833d-f8b57d25cf0d,Likely Sponsored
Lever,"Strategic Partner Lead, SAP",mistral,Munich,"About Mistral At Mistral AI, we believe in the power of AI to simplify tasks, save time, and enhance learning and creativity. Our technology is designed to integrate seamlessly into daily working life",https://jobs.lever.co/mistral/03e85b97-a91d-46e9-afa4-77945235277a,Likely Sponsored
Lever,Technical Marketing Engineer,mistral,Paris,"About Mistral At Mistral AI, we believe in the power of AI to simplify tasks, save time, and enhance learning and creativity. Our technology is designed to integrate seamlessly into daily working life",https://jobs.lever.co/mistral/942f8627-3079-416b-a2a7-bf651b336acb,Likely Sponsored
Lever,"Technical Program Manager, Science Operations - Paris",mistral,Paris,"About Mistral At Mistral AI, we believe in the power of AI to simplify tasks, save time, and enhance learning and creativity. Our technology is designed to integrate seamlessly into daily working life",https://jobs.lever.co/mistral/67858cb5-c8b2-42f9-b11a-8f2b355a8073,Likely Sponsored
Lever,Technical Support Engineer - Use Cases,mistral,Marseille,"About Mistral At Mistral AI, we believe in the power of AI to simplify tasks, save time, and enhance learning and creativity. Our technology is designed to integrate seamlessly into daily working life",https://jobs.lever.co/mistral/a228ac73-62f1-4a2a-8afe-5070f445143f,Likely Sponsored
Lever,Technical Support Engineer – On-Premise,mistral,Paris,"About Mistral At Mistral AI, we are a tight-knit, nimble team dedicated to bringing cutting-edge AI technology to the world. Our mission is to make AI ubiquitous, open, and aligned with European value",https://jobs.lever.co/mistral/f00a13aa-61f1-4c56-993c-20846adc2b15,Likely Sponsored
Adzuna,Senior AI Engineer,Ocho,"Belfast, Northern Ireland",Job description. Senior AI Engineer Location: Belfast (Hybrid) Eligibility: UK work authorisation required (no sponsorship available) Are you an AI Engineer who enjoys turning cutting edge research in,https://www.adzuna.co.uk/jobs/land/ad/5663148458?se=VII9grMx8RGyzcm9L2Uavw&utm_medium=api&utm_source=4b0905b3&v=D927B97D65162FCD35E8E27684AF46E2F75D6289,Likely Sponsored
Adzuna,Senior AI Engineer,Ocho,"Belfast, Northern Ireland",Job description. Senior AI Engineer Location: Belfast (Remote) Eligibility: Must have the right to work in the UK (no sponsorship available) We're partnering with a fast-growing technology company bui,https://www.adzuna.co.uk/jobs/land/ad/5659876926?se=VII9grMx8RGyzcm9L2Uavw&utm_medium=api&utm_source=4b0905b3&v=75CB7A0409837DABDEAA2651E6772178932C9A0A,Likely Sponsored
Adzuna,Lead AI Engineer,Ocho,"Belfast, Northern Ireland","Lead AI Engineer Location: Belfast (Hybrid) Eligibility: UK work authorisation required (no sponsorship available) If you enjoy turning AI models into real, production ready systems, this is a great o",https://www.adzuna.co.uk/jobs/land/ad/5680459303?se=VII9grMx8RGyzcm9L2Uavw&utm_medium=api&utm_source=4b0905b3&v=0EF45582775D025C340324DC3A8FB49A9BA90D55,Likely Sponsored
Greenhouse,"Platform Engineer, Machine Learning",monzo,"Cardiff, London or Remote (UK); London",,https://job-boards.greenhouse.io/monzo/jobs/7118972,Unclear
Lever,Engineering Lead - Analytics Platform,octoenergy,London (GB),"Over the past ten years, Octopus Energy Group has expanded from a UK startup to become the UK's largest energy provider and a global leader, serving over 10 million customers across 8 countries. We’re",https://jobs.lever.co/octoenergy/ddbb9842-625c-4900-a3f8-3f468e444190,Unclear
Lever,Engineering Manager - Analytics Platform,octoenergy,London (GB),"Over the past ten years, Octopus Energy Group has expanded from a UK startup to become the UK's largest energy provider and a global leader, serving over 10 million customers across 8 countries. We’re",https://jobs.lever.co/octoenergy/af1029e5-2f83-4be1-8539-46718feda4a1,Unclear
Lever,Backend Engineer - Personalization,spotify,London,"The Personalization team makes deciding what to play next easier and more enjoyable for every listener. From Blend to Discover Weekly, we’re behind some of Spotify’s most-loved features. We built them",https://jobs.lever.co/spotify/f542541d-3427-41fd-b7da-bf272bd8b755,Unclear
Lever,Data Scientist - Content Understanding,spotify,London,"Spotify’s consumer product is powered by an enormous and ever-growing catalog of music, podcasts, and audiobooks. The Content Platform team is responsible for making sure that content is ingested, str",https://jobs.lever.co/spotify/cc60212e-e20b-407e-a877-32b3d8dfe11a,Unclear
Lever,Principal Product Manager - ML / Subscriptions Growth,spotify,London,Spotify’s mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the chance to enjoy and be passionate a,https://jobs.lever.co/spotify/b6e58287-4355-4f1d-9b56-3add5509b8e8,Unclear
Lever,Senior Machine Learning Engineer - Personalization,spotify,London,"The Personalization team makes deciding what to play next easier and more enjoyable for every listener. From Blend to Discover Weekly, we’re behind some of Spotify’s most-loved features. We built them",https://jobs.lever.co/spotify/a05a32fd-477a-4aed-a7d6-b4515d7032a5,Unclear
Lever,Senior Product Manager - ML / Subscriptions Growth,spotify,London,Spotify’s mission is to unlock the potential of human creativity by giving a million creative artists the opportunity to live off their art and billions of fans the chance to enjoy and be passionate a,https://jobs.lever.co/spotify/d30af7c7-67aa-404a-a1a5-b8b3838e08c3,Unclear
Lever,Staff Machine Learning Engineer,spotify,London,"The Personalization team makes deciding what to play next easier and more enjoyable for every listener. From Blend to Discover Weekly, we’re behind some of Spotify’s most-loved features. We built them",https://jobs.lever.co/spotify/f3616bfc-a2bb-4847-90e1-0437b8a1c054,Unclear
Greenhouse,"Senior Staff Software Engineer, AI Customer Operations",monzo,"Cardiff, London or Remote (UK)",,https://job-boards.greenhouse.io/monzo/jobs/7613712,Unclear
Lever,Analytics Engineer,octoenergy,London (GB),"About Octopus Electroverse We’re making electric vehicle ownership as smart and as simple as possible by building the giant, virtual charging platform of the future. In just four years, Octopus Electr",https://jobs.lever.co/octoenergy/9f808a26-417d-40e8-be92-3b32a8625194,Unclear
Lever,Data Engineer,octoenergy,London (GB),What we do. Electric Car Leasing Why we do it. Greener. Fairer. Future. At Octopus Electric Vehicles we’re developing a data platform that provides data services to all areas of our business. The aim ,https://jobs.lever.co/octoenergy/ff40c9c4-6d4e-469d-8d0b-1f80388930f0,Unclear
Lever,Dual Fuel Smart Meter Engineer (London),octoenergy,London (GB),Help us make a big green dent in the universe. We're on a mission to drive the global renewable energy revolution and need your help to turn our vision into a reality. We're looking for smart meter en,https://jobs.lever.co/octoenergy/afd8dab5-3bcc-4552-af6f-7e0442616e62,Unclear
Lever,Dual Fuel Smart Meter Engineer (North West),octoenergy,Manchester (GB),Help us make a big green dent in the universe. We're on a mission to drive the global renewable energy revolution and need your help to turn our vision into a reality. We're looking for smart meter en,https://jobs.lever.co/octoenergy/78a63205-7bbe-49c1-96c2-4f98af90024e,Unclear
Lever,Lead Security Engineer,octoenergy,London (GB),Octopus Energy started with a bold idea: to build Britain’s first truly digital energy supplier. By combining world-class tech with brilliant humans who care deeply about customers and driving the ren,https://jobs.lever.co/octoenergy/e0227024-dca1-4695-a9de-435bad4d73ae,Unclear
Lever,Octopus in Colour Internship - Asset Management,octoenergy,London (GB),"Addressing Black representation in the energy industry At Octopus Energy, our mission is to drive the global renewable revolution and make green energy affordable for all. In order to succeed, we need",https://jobs.lever.co/octoenergy/440882d7-fd6d-4183-a7ac-90af0204abda,Unclear
Lever,Senior Backend Engineer,octoenergy,London (GB),Octopus Energy started with a bold idea: to build Britain’s first truly digital energy supplier. By combining world-class tech with brilliant humans who care deeply about customers and driving the ren,https://jobs.lever.co/octoenergy/5273a0f1-a449-4322-a388-980a212fef18,Unclear
Lever,Senior Full Stack Software Engineer,octoenergy,Remote (UK),What we do. Electric Car Leasing Why we do it. Greener. Fairer. Future. We’re looking for a Senior Fullstack Software Engineer (Python and React) to join our product and engineering team building the ,https://jobs.lever.co/octoenergy/807448fb-fffc-46b9-afc0-2b38cadaf1a7,Unclear
Lever,Senior Fullstack Engineer - TechOps,octoenergy,London (GB),Octopus Energy started with a bold idea: to build Britain’s first truly digital energy supplier. By combining world-class tech with brilliant humans who care deeply about customers and driving the ren,https://jobs.lever.co/octoenergy/71ca75e5-6af9-433d-aaee-0c2d598ed669,Unclear
Lever,TechOps Architect,octoenergy,Remote (UK),"We’re really excited to be building a small, thoughtful and effective TechOps team at Octopus. We’re looking for a knowledgeable and experienced TechOps Architect to help shape how we support people a",https://jobs.lever.co/octoenergy/3ecbeb7c-7257-4a1d-a7cc-586464235571,Unclear
Lever,TechOps Generalist,octoenergy,London (GB),"We are very excited to be growing our small and efficient TechOps team at Octopus. We aren't looking for standard IT support - we are looking for an ambitious, deeply knowledgeable and experienced Tec",https://jobs.lever.co/octoenergy/54d26920-c7fe-4d54-b377-6a99ebc9939f,Unclear
Lever,Android Engineer - User Platform,spotify,London,"We are looking for an experienced engineer to help us build the key device analysis capabilities across the Android ecosystem. This role focuses on deep, systems-level engineering to design and implem",https://jobs.lever.co/spotify/09e9e1ac-7f79-44d5-91e1-cccef6ea1418,Unclear
Lever,Backend Engineer - Platform Developer Experience,spotify,London,"Do you love being in the flow as a developer and want to enable that for everyone else as well? Do you believe that the key to personal flow is in making the local developer build experience fast, wel",https://jobs.lever.co/spotify/ed3ee1fc-5a6d-4557-a62c-c5ba18ee849d,Unclear
Lever,C++ Engineer - Platform Engineering,spotify,London,"The CI Experience squad owns the client continuous integration (CI) infrastructure at Spotify. Our mission is to ensure smooth, reliable, and fast integration of code changes across all client reposit",https://jobs.lever.co/spotify/361e8a26-1386-477f-bfd0-c819ba863be3,Unclear
Lever,Data Engineer I - Revenue,spotify,London,"At Spotify, we're building the revenue platform that drives how revenue and taxes are processed across the company — enabling reliable, scalable financial operations across every market, product line,",https://jobs.lever.co/spotify/5d36b6f4-e89d-4a01-985c-59a184080440,Unclear
Lever,Data Engineer II - SRC - Music,spotify,London,"The Rights Systems team builds and operates Spotify Rights Center (SRC) — Spotify’s rights management platform that enables Spotify and its partners to identify, manage, and enforce music licensing ri",https://jobs.lever.co/spotify/515f45a4-a750-4121-87e7-5288c0c0fbf3,Unclear
Lever,Data Scientist - Company Planning and Execution (CPE),spotify,London,Join our Company Planning and Execution (CPE) team at Spotify and help shape how we turn strategy into action across the company. The CPE team’s mission is to continuously improve how we develop Spoti,https://jobs.lever.co/spotify/5cf8c17c-ad44-463c-9da1-9cf4739b7c4f,Unclear
Lever,Fullstack AI Engineer - IT Platform Development,spotify,London,"We’re looking for a passionate engineer to join Spotify’s IT Studio, the team driving the evolution of our digital workplace. Our mission is simple: give every Spotifier the best possible user experie",https://jobs.lever.co/spotify/ec70e9a0-16b4-4ee9-b7cf-b213f46ef9e2,Unclear
Lever,Product Designer - AI Partnerships,spotify,London,"We design Spotify’s consumer experience—end to end, moment to moment, across every screen, platform, and partner integration. Our mission is to make listening feel effortless, personal, and joyful for",https://jobs.lever.co/spotify/2ea95c25-216a-4215-973f-83ef8c8859f5,Unclear
Lever,Security Engineer - Product Security,spotify,London,Security engineers at Spotify protect the security of Spotify’s platform and of our 700+ million users. We are looking for an experienced engineer to join us in securing the most important engineering,https://jobs.lever.co/spotify/6e1aa824-5287-495e-aec9-099b4c2e72db,Unclear
Lever,Senior Backend Engineer,spotify,London,"The Personalization team makes deciding what to play next easier and more enjoyable for every listener. From Blend to Discover Weekly, we’re behind some of Spotify’s most-loved features. We built them",https://jobs.lever.co/spotify/4037c259-f999-4877-9171-afcdaaaff44d,Unclear
Lever,Senior C++ Engineer - Platform Engineering,spotify,London,"The Synchrotron squad, part of the Client Platform Studio, plays a key role in providing the architectural foundation for our mobile apps. We’re looking for a passionate and skilled IOS/C++ Engineer t",https://jobs.lever.co/spotify/c7213c8c-e5e7-4b7b-a425-6ba90fc55efa,Unclear
Lever,Senior Conversational AI Lead,spotify,London,"Customer Service at Spotify is scaling toward AI-driven, agent-based automation where dynamic reasoning becomes the primary interaction model. As we scale automation and expand into new verticals (Con",https://jobs.lever.co/spotify/df021346-1c23-4184-b27f-b65c47d75564,Unclear
Lever,Senior Data Engineer - Partner & Platform Experience,spotify,London,"We design Spotify’s consumer experience—end to end, moment to moment, across every screen, platform, and partner integration. Our mission is to make listening feel effortless, personal, and joyful for",https://jobs.lever.co/spotify/4418feec-977a-4bb4-956a-09f0bfac8566,Unclear
Lever,Senior Sales Engineer - Backstage,spotify,London,"A Spotify Backstage Sales Engineer is responsible for mainly pre-sales work with prospects to purchase and adopt Backstage, Spotify’s open platform for building developer portals, within their own org",https://jobs.lever.co/spotify/bff45020-31f6-4645-bcc0-af3e5a253c43,Unclear
Lever,Senior Software Engineer - TV Playback (C++),spotify,London,"We design Spotify’s consumer experience—end to end, moment to moment, across every screen, platform, and partner integration. Our mission is to make listening feel effortless, personal, and joyful for",https://jobs.lever.co/spotify/827bfa7b-cc50-46d7-bdac-f642a14fe92b,Unclear
Lever,"Software Engineer, Backend (London)",mistral,London,"About Mistral At Mistral AI, we believe in the power of AI to simplify tasks, save time and enhance learning and creativity. Our technology is designed to integrate seamlessly into daily working life.",https://jobs.lever.co/mistral/77b8339f-da37-4f38-b554-1d154f72ca8f,Unclear
Lever,Principal Software Engineer,matillion,Manchester,"Ready to shape the future of data? Matillion is the intelligent data integration platform. We're changing how the world works with data – and we need driven, curious people who think big and move fast",https://jobs.lever.co/matillion/aef0cd87-6885-4a30-9e53-aee671edddd6,Unclear
Lever,Product Analytics Lead,matillion,Manchester,"Ready to shape the future of data? Matillion is the intelligent data integration platform. We're changing how the world works with data – and we need driven, curious people who think big and move fast",https://jobs.lever.co/matillion/5475bef9-ba9a-4660-a737-c1197038e7e1,Unclear
Lever,Product Designer,matillion,Manchester,"Ready to shape the future of data? Matillion is the intelligent data integration platform. We're changing how the world works with data – and we need driven, curious people who think big and move fast",https://jobs.lever.co/matillion/90a1460c-5ca5-4312-bc6b-9e17a3143d40,Unclear
Lever,Senior Product Manager,matillion,Manchester,"Ready to shape the future of data? Matillion is the intelligent data integration platform. We're changing how the world works with data – and we need driven, curious people who think big and move fast",https://jobs.lever.co/matillion/7f79b67f-ddbd-4526-9c70-0b2bf175e9c2,Unclear
